업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,김천만두,경상북도 김천시 모암동 83-3,경상북도 김천시 모암동 83-3,,,
,,영일식당,경상북도 김천시 대항면 향천리 324-6,경상북도 김천시 대항면 향천리 324-6,,,
,,김천항아리명가,경상북도 김천시 평화동 73-6,경상북도 김천시 평화동 73-6,,,
,,원조조방낙지 김천혁신점,경상북도 김천시 남면 혁신1로 64,경상북도 김천시 남면 혁신1로 64,,,
,,뉴램,경상북도 김천시 남면 혁신3로 15,경상북도 김천시 남면 혁신3로 15,,,
,,일직식당,경상북도 김천시 대항면 향천리 31,경상북도 김천시 대항면 향천리 31,,,
,,내마음에풍경,경상북도 김천시 감천면 금송리 672 KR,경상북도 김천시 감천면 금송리 672 KR,,,
,,연화지보리밥식당,경상북도 김천시 교동 819-2,경상북도 김천시 교동 819-2,,,
,,공화춘수타짜장 김천점,경상북도 김천시 농소면 월곡리 97-1,경상북도 김천시 농소면 월곡리 97-1,,,
,,금오식당,경상북도 김천시 대항면 황학동길 12-1,경상북도 김천시 대항면 황학동길 12-1,,,
,,소담,경상북도 김천시 농소면 월곡리 230-1,경상북도 김천시 농소면 월곡리 230-1,,,
,,어모유정식당,경상북도 김천시 어모면 중왕리 532-1,경상북도 김천시 어모면 중왕리 532-1,,,
,,정원 연화지,경상북도 김천시 교동 대학로 106 KR 2층,경상북도 김천시 교동 대학로 106 KR 2층,,,
,,구미식당,경상북도 김천시 대항면 향천리 318-10,경상북도 김천시 대항면 향천리 318-10,,,
