업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,김천뚝배기,부곡동 1254-12번지 김천시 경상북도 KR,부곡동 1254-12번지 김천시 경상북도 KR,,,
,,미영반점,경상북도 김천시 평화동 34-7,경상북도 김천시 평화동 34-7,,,
,,삼거리식육식당,경상북도 김천시 지례면 교리 687-1,경상북도 김천시 지례면 교리 687-1,,,
,,대패삼겹살,경상북도 김천시 부곡동 419-3,경상북도 김천시 부곡동 419-3,,,
,,기차길옆오막살이,경상북도 김천시 대항면 향천리 860-5,경상북도 김천시 대항면 향천리 860-5,,,
,,조선대반점,경상북도 김천시 신음동 1000-2,경상북도 김천시 신음동 1000-2,,,
,,지례가든,경상북도 김천시 부항면 사등리 882-2,경상북도 김천시 부항면 사등리 882-2,,,
,,청담김천점,경상북도 김천시 신음동 1010-1,경상북도 김천시 신음동 1010-1,,,
,,지례흑돈,경상북도 김천시 지례면 교리 592-1,경상북도 김천시 지례면 교리 592-1,,,
,,수가성,경상북도 김천시 대신동 느티골길 28-3,경상북도 김천시 대신동 느티골길 28-3,,,
,,낙동생오리,경상북도 김천시 삼락동 723-2,경상북도 김천시 삼락동 723-2,,,
,,누리마을감자탕김천덕곡점,경상북도 김천시 덕곡동 1141-1,경상북도 김천시 덕곡동 1141-1,,,
,,닭발전쟁,경상북도 김천시 신음동,경상북도 김천시 신음동,,,
,,대머리신쭈꾸미,경상북도 김천시 신음동 1036-9,경상북도 김천시 신음동 1036-9,,,
,,온천골가마솥국밥,경상북도 김천시 부곡동,경상북도 김천시 부곡동,,,
,,생오리마당,경상북도 김천시 아포읍 국사리 107-1,경상북도 김천시 아포읍 국사리 107-1,,,
,,장충동왕족발김천점,경상북도 김천시 부곡동 김천로 5-1,경상북도 김천시 부곡동 김천로 5-1,,,
,,모퉁이1044,경상북도 김천시 남면 옥산리 105,경상북도 김천시 남면 옥산리 105,,,
,,뚜꺼비식육식당,경상북도 김천시 지례면 교리 689,경상북도 김천시 지례면 교리 689,,,
,,모란칡냉면,경상북도 김천시 신음동 1283-1,경상북도 김천시 신음동 1283-1,,,
,,백세남원추어탕,경상북도 김천시 신음동 1210-3,경상북도 김천시 신음동 1210-3,,,
,,한촌설렁탕김천점,경상북도 김천시 성내동 4-1,경상북도 김천시 성내동 4-1,,,
,,무교동해갯마을낙지,경상북도 김천시 부곡동 1438,경상북도 김천시 부곡동 1438,,,
,,김천불고기,경상북도 김천시 부곡동,경상북도 김천시 부곡동,,,
,,뻘떡낙지,경상북도 김천시 신음동 927,경상북도 김천시 신음동 927,,,
,,이바돔감자탕 김천점,경상북도 김천시 신음동 792-4,경상북도 김천시 신음동 792-4,,,
,,산호갈비,경상북도 김천시 신음동 번지 1층 928-1 KR,경상북도 김천시 신음동 번지 1층 928-1 KR,,,
,,별난버섯집,경상북도 김천시 대항면 향천리 603-1,경상북도 김천시 대항면 향천리 603-1,,,
,,대왕비빔밥,경상북도 김천시 신음동 번지 1층 791-19 KR,경상북도 김천시 신음동 번지 1층 791-19 KR,,,
,,찌짐과막걸리집,부곡동 1363번지 김천시 경상북도 KR,부곡동 1363번지 김천시 경상북도 KR,,,
,,구이촌,경상북도 김천시 부곡동 425-15,경상북도 김천시 부곡동 425-15,,,
,,둥지톳밥,경상북도 김천시 대신동 연화지1길 26-3,경상북도 김천시 대신동 연화지1길 26-3,,,
,,울진 식당,경상북도 김천시 모암동 83-3,경상북도 김천시 모암동 83-3,,,
,,자연담은샤브허브향,경상북도 김천시 신음동 1036-1,경상북도 김천시 신음동 1036-1,,,
,,24시전주명가콩나물밥,경상북도 김천시 신음동 925-6,경상북도 김천시 신음동 925-6,,,
,,오일김밥,부곡동 466-3번지 김천시 경상북도 KR,부곡동 466-3번지 김천시 경상북도 KR,,,
,,정남조삼계탕,경상북도 김천시 신음동 991-4,경상북도 김천시 신음동 991-4,,,
,,한돈참숯꼬기부곡점,경상북도 김천시 부곡동 507-1,경상북도 김천시 부곡동 507-1,,,
,,금강매운탕,경상북도 김천시 어모면 어모문화3길 15-1,경상북도 김천시 어모면 어모문화3길 15-1,,,
,,무리소김천점,부곡동 1487번지 1층 김천시 경상북도 KR,부곡동 1487번지 1층 김천시 경상북도 KR,,,
,,뼈대있는갈비,경상북도 김천시 부곡동 1338,경상북도 김천시 부곡동 1338,,,
,,조개랑새우랑,경상북도 김천시 부곡동 1441,경상북도 김천시 부곡동 1441,,,
,,532식당,경상북도 김천시 교동 591-13,경상북도 김천시 교동 591-13,,,
,,지례흑돼지,경상북도 김천시 지례면 상부리 141-3,경상북도 김천시 지례면 상부리 141-3,,,
,,2000식당,경상북도 김천시 용두동 12,경상북도 김천시 용두동 12,,,
,,곤지암할매소머리국밥김천점,경상북도 김천시 평화동 7-2,경상북도 김천시 평화동 7-2,,,
,,배신식당,경상북도 김천시 감문면 배시내길 46,경상북도 김천시 감문면 배시내길 46,,,
,,까지고을,경상북도 김천시 부곡동 409-6,경상북도 김천시 부곡동 409-6,,,
,,동성로 매콩돈까스와냉면 김천혁신점,경상북도 김천시 남면 우래1길 27,경상북도 김천시 남면 우래1길 27,,,
,,비비큐 김천대신점,경상북도 김천시 신음동 1273,경상북도 김천시 신음동 1273,,,
,,더오니기리,경상북도 김천시 신음동 995-12,경상북도 김천시 신음동 995-12,,,
,,월류,경상북도 김천시 평화동 3-7,경상북도 김천시 평화동 3-7,,,
,,한일먹거리,경상북도 김천시 평화동 245-116,경상북도 김천시 평화동 245-116,,,
,,스모프치킨김천시청점,경상북도 김천시 신음동 1277-8,경상북도 김천시 신음동 1277-8,,,
,,금천구이식당,경상북도 김천시 용두동 181,경상북도 김천시 용두동 181,,,
,,양심떡볶이,경상북도 김천시 자산동 208-8,경상북도 김천시 자산동 208-8,,,
,,왕십리보쌈왕족발,경상북도 김천시 평화동 245-182,경상북도 김천시 평화동 245-182,,,
,,굴까는남자,경상북도 김천시 신음동 1298-3,경상북도 김천시 신음동 1298-3,,,
,,벌교꼬막정식 김천교동점,경상북도 김천시 삼락동 1189,경상북도 김천시 삼락동 1189,,,
,,Mr.B 나가사키 짬뽕,경상북도 김천시 신음동 588-7,경상북도 김천시 신음동 588-7,,,
,,금강산가든,경상북도 김천시 부곡동 1387,경상북도 김천시 부곡동 1387,,,
,,이공이공강릉집,경상북도 김천시 덕곡동 695-7,경상북도 김천시 덕곡동 695-7,,,
,,옛날통닭,경상북도 김천시 평화동 245-55,경상북도 김천시 평화동 245-55,,,
,,영산포식당,경상북도 김천시 신음동,경상북도 김천시 신음동,,,
,,모암토끼식당,모암동 82-6번지 김천시 경상북도 KR,모암동 82-6번지 김천시 경상북도 KR,,,
,,이삭토스트 김천신음점,경상북도 김천시 신음동 995-1,경상북도 김천시 신음동 995-1,,,
,,한모둠 김천점,경상북도 김천시 신음동 783-3,경상북도 김천시 신음동 783-3,,,
,,농소밥심,경상북도 김천시 농소면 입석리 346-9 KR,경상북도 김천시 농소면 입석리 346-9 KR,,,
,,임꺽정숯불촌,경상북도 김천시 부곡동 1310-4,경상북도 김천시 부곡동 1310-4,,,
,,용밭식당,경상북도 김천시 모암동 102-6,경상북도 김천시 모암동 102-6,,,
,,버들식당,경상북도 김천시 평화동 51-3,경상북도 김천시 평화동 51-3,,,
,,좋은집편한집,경상북도 김천시 성내동 32-12,경상북도 김천시 성내동 32-12,,,
,,밀집식당,경상북도 김천시 모암동 180-34,경상북도 김천시 모암동 180-34,,,
,,맛,경상북도 김천시 용두동,경상북도 김천시 용두동,,,
,,연경반점,경상북도 김천시 성내동 영남대로 1690-4,경상북도 김천시 성내동 영남대로 1690-4,,,
,,진갈매기,경상북도 김천시 평화동 245-32,경상북도 김천시 평화동 245-32,,,
,,정원2,경상북도 김천시 신음동 1217-1번지 KR,경상북도 김천시 신음동 1217-1번지 KR,,,
,,백운각,경상북도 김천시 평화동 245-91,경상북도 김천시 평화동 245-91,,,
,,주성면옥,"58 혁신1로, 남면 김천시 경상북도","58 혁신1로, 남면 김천시 경상북도",,,
,,지례흑돼지돈드림,경상북도 김천시 부곡동,경상북도 김천시 부곡동,,,
,,고기밥상,경상북도 김천시 신음동 791-14,경상북도 김천시 신음동 791-14,,,
,,대박칼국수,경상북도 김천시 남산동 16-3,경상북도 김천시 남산동 16-3,,,
,,아침마당,경상북도 김천시 지좌동 518-17,경상북도 김천시 지좌동 518-17,,,
,,고집불통한우촌,경상북도 김천시 성내동 32-14,경상북도 김천시 성내동 32-14,,,
,,금돼지삼겹살,경상북도 김천시 신음동 848-12,경상북도 김천시 신음동 848-12,,,
,,본죽 신음점,경상북도 김천시 신음동 394-1,경상북도 김천시 신음동 394-1,,,
